"TIME","GEO","CITIZEN","UNIT","Value"
"2003","Belgium","Total","Person","13,585"
"2003","Bulgaria","Total","Person","1,320"
"2003","Czech Republic","Total","Person","11,400"
"2003","Denmark","Total","Person","4,390"
"2003","Germany (until 1990 former territory of the FRG)","Total","Person","50,565"
"2003","Estonia","Total","Person","15"
"2003","Ireland","Total","Person","7,485"
"2003","Greece","Total","Person","8,180"
"2003","Spain","Total","Person","5,765"
"2003","France","Total","Person","59,770"
"2003","Italy","Total","Person","13,705"
"2003","Cyprus","Total","Person","4,405"
"2003","Latvia","Total","Person","5"
"2003","Lithuania","Total","Person","395"
"2003","Luxembourg","Total","Person","1,550"
"2003","Hungary","Total","Person","2,400"
"2003","Malta","Total","Person","455"
"2003","Netherlands","Total","Person","13,400"
"2003","Austria","Total","Person","32,360"
"2003","Poland","Total","Person","6,810"
"2003","Portugal","Total","Person","115"
"2003","Romania","Total","Person","885"
"2003","Slovenia","Total","Person","1,050"
"2003","Slovakia","Total","Person","10,300"
"2003","Finland","Total","Person","3,090"
"2003","Sweden","Total","Person","31,355"
"2003","United Kingdom","Total","Person","60,045"
"2003","Iceland","Total","Person",":"
"2003","Norway","Total","Person","16,020"
"2003","Switzerland","Total","Person","19,545"
"2004","European Union (27 countries)","Total","Person","276,675"
"2004","Belgium","Total","Person","12,400"
"2004","Bulgaria","Total","Person","985"
"2004","Czech Republic","Total","Person","5,300"
"2004","Denmark","Total","Person","3,235"
"2004","Germany (until 1990 former territory of the FRG)","Total","Person","35,605"
"2004","Estonia","Total","Person","10"
"2004","Ireland","Total","Person","4,265"
"2004","Greece","Total","Person","4,470"
"2004","Spain","Total","Person","5,365"
"2004","France","Total","Person","58,545"
"2004","Italy","Total","Person","9,630"
"2004","Cyprus","Total","Person","9,675"
"2004","Latvia","Total","Person","5"
"2004","Lithuania","Total","Person","165"
"2004","Luxembourg","Total","Person","1,575"
"2004","Hungary","Total","Person","1,600"
"2004","Malta","Total","Person","995"
"2004","Netherlands","Total","Person","9,780"
"2004","Austria","Total","Person","24,635"
"2004","Poland","Total","Person","7,925"
"2004","Portugal","Total","Person","115"
"2004","Romania","Total","Person","545"
"2004","Slovenia","Total","Person","1,090"
"2004","Slovakia","Total","Person","11,395"
"2004","Finland","Total","Person","3,575"
"2004","Sweden","Total","Person","23,160"
"2004","United Kingdom","Total","Person","40,625"
"2004","Iceland","Total","Person",":"
"2004","Norway","Total","Person","7,950"
"2004","Switzerland","Total","Person","13,475"
"2005","European Union (27 countries)","Total","Person","234,675"
"2005","Belgium","Total","Person","12,575"
"2005","Bulgaria","Total","Person","700"
"2005","Czech Republic","Total","Person","3,590"
"2005","Denmark","Total","Person","2,280"
"2005","Germany (until 1990 former territory of the FRG)","Total","Person","28,915"
"2005","Estonia","Total","Person","10"
"2005","Ireland","Total","Person","4,305"
"2005","Greece","Total","Person","9,050"
"2005","Spain","Total","Person","5,050"
"2005","France","Total","Person","49,735"
"2005","Italy","Total","Person","9,345"
"2005","Cyprus","Total","Person","7,715"
"2005","Latvia","Total","Person","20"
"2005","Lithuania","Total","Person","100"
"2005","Luxembourg","Total","Person","800"
"2005","Hungary","Total","Person","1,610"
"2005","Malta","Total","Person","1,165"
"2005","Netherlands","Total","Person","12,345"
"2005","Austria","Total","Person","22,460"
"2005","Poland","Total","Person","5,240"
"2005","Portugal","Total","Person","115"
"2005","Romania","Total","Person","485"
"2005","Slovenia","Total","Person","1,550"
"2005","Slovakia","Total","Person","3,550"
"2005","Finland","Total","Person","3,595"
"2005","Sweden","Total","Person","17,530"
"2005","United Kingdom","Total","Person","30,840"
"2005","Iceland","Total","Person","85"
"2005","Norway","Total","Person","5,400"
"2005","Switzerland","Total","Person","9,350"
"2006","European Union (27 countries)","Total","Person","197,410"
"2006","Belgium","Total","Person","8,870"
"2006","Bulgaria","Total","Person","500"
"2006","Czech Republic","Total","Person","2,730"
"2006","Denmark","Total","Person","1,960"
"2006","Germany (until 1990 former territory of the FRG)","Total","Person","21,030"
"2006","Estonia","Total","Person","5"
"2006","Ireland","Total","Person","4,240"
"2006","Greece","Total","Person","12,265"
"2006","Spain","Total","Person","5,295"
"2006","France","Total","Person","30,750"
"2006","Italy","Total","Person","10,350"
"2006","Cyprus","Total","Person","4,540"
"2006","Latvia","Total","Person","10"
"2006","Lithuania","Total","Person","145"
"2006","Luxembourg","Total","Person","525"
"2006","Hungary","Total","Person","2,115"
"2006","Malta","Total","Person","1,270"
"2006","Netherlands","Total","Person","14,465"
"2006","Austria","Total","Person","13,350"
"2006","Poland","Total","Person","4,225"
"2006","Portugal","Total","Person","130"
"2006","Romania","Total","Person","380"
"2006","Slovenia","Total","Person","500"
"2006","Slovakia","Total","Person","2,850"
"2006","Finland","Total","Person","2,275"
"2006","Sweden","Total","Person","24,320"
"2006","United Kingdom","Total","Person","28,320"
"2006","Iceland","Total","Person","40"
"2006","Norway","Total","Person","5,320"
"2006","Switzerland","Total","Person","9,315"
"2007","European Union (27 countries)","Total","Person","222,635"
"2007","Belgium","Total","Person","11,575"
"2007","Bulgaria","Total","Person","815"
"2007","Czech Republic","Total","Person","1,585"
"2007","Denmark","Total","Person","2,225"
"2007","Germany (until 1990 former territory of the FRG)","Total","Person","19,165"
"2007","Estonia","Total","Person","15"
"2007","Ireland","Total","Person","3,935"
"2007","Greece","Total","Person","25,115"
"2007","Spain","Total","Person","7,195"
"2007","France","Total","Person","29,160"
"2007","Italy","Total","Person","14,055"
"2007","Cyprus","Total","Person","6,780"
"2007","Latvia","Total","Person","35"
"2007","Lithuania","Total","Person","125"
"2007","Luxembourg","Total","Person","425"
"2007","Hungary","Total","Person","3,420"
"2007","Malta","Total","Person","1,380"
"2007","Netherlands","Total","Person","7,100"
