"TIME","GEO","CITIZEN","UNIT","Value"
"1999M09","Austria","Total","Person","1,710"
"1999M09","Poland","Total","Person",":"
"1999M09","Portugal","Total","Person","50"
"1999M09","Romania","Total","Person",":"
"1999M09","Slovenia","Total","Person",":"
"1999M09","Slovakia","Total","Person",":"
"1999M09","Finland","Total","Person","180"
"1999M09","Sweden","Total","Person","1,010"
"1999M09","United Kingdom","Total","Person","7,355"
"1999M09","Iceland","Total","Person",":"
"1999M09","Norway","Total","Person",":"
"1999M09","Turkey","Total","Person",":"
"1999M10","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M10","Belgium","Total","Person","3,245"
"1999M10","Bulgaria","Total","Person",":"
"1999M10","Czechia","Total","Person",":"
"1999M10","Denmark","Total","Person","460"
"1999M10","Germany (until 1990 former territory of the FRG)","Total","Person","7,505"
"1999M10","Estonia","Total","Person",":"
"1999M10","Ireland","Total","Person","1,050"
"1999M10","Greece","Total","Person","155"
"1999M10","Spain","Total","Person","680"
"1999M10","France","Total","Person","2,875"
"1999M10","Italy","Total","Person",":"
"1999M10","Cyprus","Total","Person",":"
"1999M10","Latvia","Total","Person",":"
"1999M10","Lithuania","Total","Person",":"
"1999M10","Luxembourg","Total","Person","45"
"1999M10","Hungary","Total","Person",":"
"1999M10","Malta","Total","Person",":"
"1999M10","Netherlands","Total","Person","3,860"
"1999M10","Austria","Total","Person","1,450"
"1999M10","Poland","Total","Person",":"
"1999M10","Portugal","Total","Person","25"
"1999M10","Romania","Total","Person",":"
"1999M10","Slovenia","Total","Person",":"
"1999M10","Slovakia","Total","Person",":"
"1999M10","Finland","Total","Person","175"
"1999M10","Sweden","Total","Person","975"
"1999M10","United Kingdom","Total","Person","6,295"
"1999M10","Iceland","Total","Person",":"
"1999M10","Norway","Total","Person",":"
"1999M10","Turkey","Total","Person",":"
"1999M11","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M11","Belgium","Total","Person","3,320"
"1999M11","Bulgaria","Total","Person",":"
"1999M11","Czechia","Total","Person",":"
"1999M11","Denmark","Total","Person","920"
"1999M11","Germany (until 1990 former territory of the FRG)","Total","Person","7,475"
"1999M11","Estonia","Total","Person",":"
"1999M11","Ireland","Total","Person","1,010"
