freq,unit,citizen,sex,age,decision,geo\TIME_PERIOD	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 
Q,PER,TOTAL,T,TOTAL,TOTAL,CY	0 	0 	0 	0 	755 	1250 	1175 	670 	680 	615 	535 	610 	495 	1030 	665 	435 	425 	275 	370 	265 	170 	215 	175 	235 	215 	270 	410 	405 	485 	390 	705 	485 	600 	510 	330 	535 	475 	790 	645 	540 	510 	380 	800 	790 	615 	640 	1090 	930 	1160 	205 
Q,PER,TOTAL,T,TOTAL,TOTAL,CZ	555 	385 	245 	215 	180 	140 	110 	105 	120 	120 	120 	145 	210 	180 	160 	140 	230 	170 	160 	175 	170 	190 	230 	325 	180 	280 	225 	320 	300 	410 	300 	335 	380 	405 	280 	245 	300 	290 	330 	270 	380 	310 	325 	380 	360 	360 	385 	295 	290 	255 
Q,PER,TOTAL,T,TOTAL,TOTAL,DE	5630 	4255 	4740 	4710 	6150 	6900 	7310 	6495 	8130 	10620 	13065 	13585 	11810 	9490 	8935 	10130 	11600 	12385 	12115 	22665 	13740 	15205 	22725 	24695 	21250 	19785 	20680 	35700 	48560 	45970 	54270 	100550 	138675 	117840 	163340 	211325 	191805 	165095 	90980 	76465 	58920 	40445 	37525 	42315 	49140 	34740 	38015 	32365 	35505 	33260 
Q,PER,TOTAL,T,TOTAL,TOTAL,DK	255 	425 	335 	235 	175 	225 	405 	865 	655 	860 	880 	905 	840 	985 	820 	955 	870 	880 	1180 	1765 	1525 	1245 	1720 	2515 	1650 	1935 	2375 	2130 	3830 	2910 	2525 	3070 	2215 	3155 	2495 	2570 	2485 	2365 	1105 	940 	610 	485 	675 	875 	785 	770 	665 	845 	465 	280 
Q,PER,TOTAL,T,TOTAL,TOTAL,EE	5 	5 	0 	0 	10 	0 	5 	10 	15 	10 	10 	5 	10 	10 	30 	5 	10 	20 	20 	5 	10 	15 	20 	10 	10 	15 	15 	15 	20 	35 	50 	70 	45 	55 	50 	45 	55 	45 	25 	25 	25 	30 	10 	15 	25 	20 	15 	30 	25 	15 
Q,PER,TOTAL,T,TOTAL,TOTAL,EL	880 	7525 	9325 	11850 	4140 	5270 	3130 	1815 	1000 	1145 	710 	600 	1345 	2400 	2635 	2290 	2880 	3545 	1525 	3240 	2855 	3000 	3895 	3335 	4180 	5050 	2185 	1890 	2550 	2355 	2500 	2235 	2140 	2380 	3090 	3845 	4430 	5760 	6780 	7545 	6865 	8055 	8605 	8820 	8310 	7315 	8275 	8800 	11215 	18275 
Q,PER,TOTAL,T,TOTAL,TOTAL,ES	1490 	880 	1300 	1460 	1310 	1145 	1075 	960 	495 	670 	840 	780 	800 	650 	935 	1015 	575 	670 	585 	770 	655 	570 	465 	685 	665 	790 	1315 	850 	650 	755 	820 	1020 	2285 	2230 	3600 	2135 	3560 	2275 	2475 	3750 	3380 	2275 	3405 	2840 	2845 	6375 	18270 	30545 	33685 	8090 
Q,PER,TOTAL,T,TOTAL,TOTAL,EU27_2020	39180 d	46245 d	48290 d	57475 d	50675 d	52000 d	48445 d	50125 d	45765 d	48260 d	49205 d	53870 d	48355 d	51235 d	51590 d	60950 d	60075 	58810 	55210 	86710 	62545 	68180 	74340 	87290 	77620 	77810 	80125 	105880 	114010 	116575 	132165 	196110 	232285 	227210 	273315 	342940 	287380 	264665 	193090 	188915 	157895 	135125 	126000 	134090 	134350 	124880 	136200 	145655 	142650 	94610 
Q,PER,TOTAL,T,TOTAL,TOTAL,EU28	44505 d	52450 d	54785 d	63245 d	57025 d	59205 d	57835 d	58280 d	52825 d	55100 d	55685 d	60185 d	54765 	56725 	57235 	66380 	66140 	63990 	60495 	92225 	69300 	74555 	79800 	91275 	81250 	82535 	88305 	115345 	126775 	124675 	140805 	204865 	240465 	234725 	280940 	350640 	295075 	271130 	199745 	196035 	166265 	142320 	132915 	140700 	141960 	131755 	143195 	152780 	: 	: 
Q,PER,TOTAL,T,TOTAL,TOTAL,FI	345 	425 	390 	515 	525 	825 	470 	1140 	1610 	1500 	1130 	640 	735 	590 	540 	780 	655 	740 	800 	915 	825 	820 	815 	760 	550 	565 	570 	665 	585 	585 	720 	1065 	2015 	4945 	6690 	7115 	2535 	1880 	1540 	1240 	1205 	1055 	1145 	1040 	1250 	1325 	1175 	1095 	1250 	645 
